Country,Clicks,Impressions,CTR,Position
United States,9,1458,0.62%,33.65
Norway,1,11,9.09%,31.36
Russia,1,5,20%,18
Canada,0,173,0%,51.89
United Kingdom,0,114,0%,59.28
Brazil,0,53,0%,42.87
India,0,52,0%,41.9
Australia,0,24,0%,50.5
France,0,20,0%,38.55
Netherlands,0,16,0%,35.56
Mexico,0,14,0%,32.79
South Africa,0,13,0%,53.08
Argentina,0,11,0%,33.09
Philippines,0,8,0%,43.5
Vietnam,0,8,0%,49.25
Germany,0,8,0%,51.62
Indonesia,0,7,0%,25.29
Spain,0,7,0%,29.43
Austria,0,7,0%,53.29
Pakistan,0,7,0%,73.57
Israel,0,6,0%,41.83
Switzerland,0,6,0%,42.83
New Zealand,0,6,0%,70.83
Finland,0,5,0%,19.6
Italy,0,5,0%,26.2
Ecuador,0,5,0%,34.2
Japan,0,5,0%,35.6
Ireland,0,5,0%,41.4
United Arab Emirates,0,5,0%,51.2
Sweden,0,4,0%,8.25
Turkey,0,4,0%,34
Colombia,0,4,0%,35.75
Trinidad & Tobago,0,4,0%,48.5
Ethiopia,0,3,0%,3.33
South Korea,0,3,0%,6
Serbia,0,3,0%,6.33
Bangladesh,0,3,0%,7.67
Slovenia,0,3,0%,9.67
Poland,0,3,0%,18
Egypt,0,3,0%,24.33
Jamaica,0,3,0%,24.67
Singapore,0,3,0%,26
Czechia,0,3,0%,27.33
Portugal,0,3,0%,30.67
Morocco,0,3,0%,58.67
Kazakhstan,0,3,0%,71.33
Cambodia,0,3,0%,76
China,0,2,0%,3.5
Romania,0,2,0%,4
Venezuela,0,2,0%,4.5
Iran,0,2,0%,5
Malta,0,2,0%,6.5
Belarus,0,2,0%,7
Lithuania,0,2,0%,7
Bulgaria,0,2,0%,7.5
Hungary,0,2,0%,7.5
Chile,0,2,0%,8
Denmark,0,2,0%,8
Dominican Republic,0,2,0%,24.5
Saudi Arabia,0,2,0%,28
Belgium,0,2,0%,31.5
Paraguay,0,2,0%,32.5
Malaysia,0,2,0%,40.5
Costa Rica,0,2,0%,42
Thailand,0,2,0%,42
Hong Kong,0,2,0%,43.5
Ukraine,0,2,0%,69
Algeria,0,2,0%,78
St. Kitts & Nevis,0,1,0%,2
Lebanon,0,1,0%,3
Slovakia,0,1,0%,3
Unknown Region,0,1,0%,4
Jordan,0,1,0%,5
Iraq,0,1,0%,6
Montenegro,0,1,0%,6
Qatar,0,1,0%,6
Uruguay,0,1,0%,6
St. Lucia,0,1,0%,7
Bahamas,0,1,0%,9
Suriname,0,1,0%,9
Taiwan,0,1,0%,9
Uzbekistan,0,1,0%,9
Bosnia & Herzegovina,0,1,0%,10
Croatia,0,1,0%,11
Guatemala,0,1,0%,13
Kuwait,0,1,0%,59
Bahrain,0,1,0%,65
Mozambique,0,1,0%,66
Nigeria,0,1,0%,74
Greece,0,1,0%,76
Uganda,0,1,0%,93
